key,comment,en,zh-cn,ko
config,Home page,Config,配置,설정
speed_ctrl,Home page,Speed ctrl,速度控制,속도 제어
firmware,Home page,Firmware,固件,펌웨어
system,Home page,System,系统,시스템
save,Config page,Save,保存,저장
load,Config page,Load,读取,불러오기
unsaved,Config page,unsaved*,未保存*,저장되지 않음*
speed_control,Speed control page,Speed control,速度控制,속도 제어
smooth,Speed control page,Smooth,平滑,부드럽게
disable_smooth_warning,Speed control page,Sudden speed changes may damage the ESC. Confirm to disable smooth mode?,突然的速度变化可能损坏电调。确认禁用平滑模式？,급격한 속도 변화는 ESC를 손상시킬 수 있습니다. 부드러운 모드를 비활성화할까요?
widget_color,Widget color page,Widget color,控件颜色,위젯 색상
lcd_brightness,LCD brightness page,LCD Brightness,LCD亮度,LCD 밝기
system_widget_color,System page,Widget color,控件颜色,위젯 색상
system_lcd_brightness,System page,LCD brightness,LCD亮度,LCD 밝기
system_factory_reset,System page,Factory Reset,恢复出厂设置,공장 초기화
system_language,System page,Language,语言,언어
system_about,System page,About,关于,정보
factory_reset_confirm,System page,Are you sure to reset to factory settings?,确定要恢复出厂设置吗？,공장 초기화하시겠습니까?
language_english,Language page,English,English,English
language_chinese,Language page,中文(简体),中文(简体),中文(简体)
language_korean,Language page,한국어,한국어,한국어
config_load_first,Config page,Please load settings first,请先读取设置,먼저 설정을 불러오세요
config_save_confirm,Config page,Save settings to AM32?,保存设置到AM32？,설정을 AM32에 저장할까요?
config_load_unsaved_warning,Config page,You have unsaved changes. Load settings from AM32? Unsaved changes will be lost.,您有未保存的更改。从AM32读取设置？未保存的更改将丢失。,저장되지 않은 변경이 있습니다. AM32에서 설정을 불러오면 변경 내용이 사라집니다.
config_back_unsaved_warning,Config page,You have unsaved changes. Are you sure to leave without saving?,您有未保存的更改。确定不保存就离开吗？,저장되지 않은 변경이 있습니다. 저장하지 않고 나가시겠습니까?
config_read_failed,Config page,Failed to read parameters from AM32. Check power or connection.,从AM32读取参数失败。请检查电源或连接。,AM32에서 매개변수 읽기 실패. 전원 또는 연결을 확인하세요.
config_write_failed,Config page,Failed to write parameters to AM32. Check power or connection.,向AM32写入参数失败。请检查电源或连接。,AM32에 매개변수 쓰기 실패. 전원 또는 연결을 확인하세요.
about_hardware_version_format,About page,Hardware version: %s,硬件版本：%s,하드웨어 버전: %s
about_software_version_format,About page,Software version: %s,软件版本：%s,소프트웨어 버전: %s
about_build_time_format,About page,Build time: %s,编译时间：%s,빌드 시간: %s
about_uid_format,About page,UID: %08lX %08lX %08lX,UID：%08lX %08lX %08lX,UID: %08lX %08lX %08lX
speed_format,Speed control page,Speed: %lu%%,速度：%lu%%,속도: %lu%%
select_file,Firmware page,Select file:,选择文件：,파일 선택:
success,Firmware page,success,成功,성공
update_firmware,Firmware page,Update firmware,更新固件,펌웨어 업데이트
no_hex_files_found,Firmware page,No *.hex files found,未找到 *.hex 文件,*.hex 파일이 없습니다
firmware_updating_wait,Firmware page,"Firmware updating, please wait...",固件正在更新，请稍候...,펌웨어 업데이트 중입니다. 잠시 기다려 주세요...
error_unknown,Firmware page,unknown error,未知错误,알 수 없는 오류
error_invalid_path,Firmware page,Invalid file path,无效的文件路径,잘못된 파일 경로
error_invalid_path_length,Firmware page,Invalid file path length,文件路径长度无效,파일 경로 길이가 올바르지 않습니다
error_hex_start_address,Firmware page,Hex file start address is invalid,Hex文件起始地址无效,Hex 파일 시작 주소가 올바르지 않습니다
error_open_hex_failed,Firmware page,Failed to open hex file,打开Hex文件失败,Hex 파일 열기 실패
error_check_hex_failed,Firmware page,Check hex failed(%ld),检查Hex失败(%ld),Hex 검사 실패(%ld)
error_write_flash,Firmware page,failed to write flash at address %08lX,写入Flash失败，地址 %08lX,Flash 쓰기 실패 주소 %08lX
error_read_hex,Firmware page,error reading hex file(%ld),读取Hex文件错误(%ld),Hex 파일 읽기 오류(%ld)
car_type_reverse_braking,Brake tile,Car type reverse braking,车型反向刹车,차량 타입 역방향 브레이크
brake_on_stop,Brake tile,Brake on stop,停止时刹车,정지 시 브레이크
brake_on_stop_option_off,Brake tile,Off,关闭,끔
brake_on_stop_option_brake,Brake tile,Brake on stop,停止刹车,정지 브레이크
brake_on_stop_option_active,Brake tile,Active brake,主动刹车,액티브 브레이크
off,Brake tile,Off,关闭,끔
brake_strength,Brake tile,Brake strength,刹车强度,브레이크 강도
running_brake_level,Brake tile,Running brake level,运行刹车等级,주행 브레이크 레벨
active_brake_power,Brake tile,Active brake power,主动刹车功率,액티브 브레이크 파워
duty_cycle,Brake tile,%u%% duty cycle,%u%% 占空比,%u%% 듀티 사이클
protocol,Essentials tile,Protocol:,协议：,프로토콜:
protocol_option_auto,Essentials tile,AUTO,AUTO,AUTO
protocol_option_dshot,Essentials tile,Dshot,Dshot,Dshot
protocol_option_servo,Essentials tile,Servo,Servo,Servo
protocol_option_serial,Essentials tile,Serial,Serial,Serial
protocol_option_edt_arm,Essentials tile,EDT ARM,EDT ARM,EDT ARM
motor_direction_reverse,Essentials tile,Motor direction reverse,电机反向,모터 역방향
disable_stick_calibration,Essentials tile,Disable Stick Calibration,禁用摇杆校准,스틱 캘리브레이션 비활성화
stuck_rotor_protection,Motor1 tile,Stuck Rotor Protection,堵转保护,로터 고착 보호
stall_protection,Motor1 tile,Stall protection,失速保护,스톨 보호
use_hall_sensors,Motor1 tile,Use hall sensors,使用霍尔传感器,홀 센서 사용
telemetry_30ms,Motor1 tile,30ms interval telemetry,30ms间隔遥测,30ms 간격 텔레메트리
complementary_pwm,Motor1 tile,Complementary PWM,互补PWM,보완 PWM
auto_timing_advance,Motor2 tile,Auto timing advance,自动提前角,자동 타이밍 어드밴스
timing_advance,Motor2 tile,Timing Advance,提前角,타이밍 어드밴스
startup_power,Motor2 tile,Startup power,启动功率,시동 전력
motor_kv,Motor2 tile,Motor KV,电机KV,모터 KV
motor_poles,Motor3 tile,Motor poles,电机极数,모터 극수
beeper_volume,Motor3 tile,Beeper volume,电机蜂鸣音量,비퍼 음량
ramp_rate,Motor3 tile,Ramp rate,变化速率,램프 속도
ramp_rate_format,Motor3 tile,%u.%u%% duty cycle per ms,%u.%u%% 占空比/ms,%u.%u%% 듀티 사이클/ms
pwm_type,Motor4 tile,PWM Type,PWM类型,PWM 유형
pwm_type_option_fixed,Motor4 tile,Fixed,固定,고정
pwm_type_option_variable,Motor4 tile,Variable,可变,가변
pwm_type_option_by_rpm,Motor4 tile,by RPM,按RPM,RPM 기준
pwm_frequency,Motor4 tile,PWM Frequency,PWM频率,PWM 주파수
minimum_duty_cycle,Motor4 tile,Minimum duty cycle,最小占空比,최소 듀티 사이클
low_voltage_cut_off,Limits tile,Low Voltage Cut Off,低压保护,저전압 차단
lvco_option_off,Limits tile,Off,关闭,끔
lvco_option_cell_based,Limits tile,Cell based,基于电芯,셀 기반
lvco_option_absolute,Limits tile,Absolute,绝对值,절대값
temperature_limit,Limits tile,Temperature limit,温度限制保护,온도 제한
current_limit,Limits tile,Current limit,电流限制保护,전류 제한
disabled,Limits tile,Disabled,已禁用,비활성화됨
low_voltage_cut_off_threshold,Limits tile,Low voltage cut off threshold,低压保护阈值,저전압 차단 임계값
absolute_voltage_cutoff,Limits tile,Absolute voltage cutoff,绝对电压截止,절대 전압 차단
editable_if_current_limit,PID tile,Editable if current limit works,"当电流限制保护开启时,下列参数有效",전류 제한이 동작할 때만 편집 가능
current_p,PID tile,Current P,电流P,전류 P
current_i,PID tile,Current I,电流I,전류 I
current_d,PID tile,Current D,电流D,전류 D
low_threshold,Servo tile,Low threshold,输入PWM启动阈值,낮은 임계값
high_threshold,Servo tile,High threshold,输入PWM最高阈值,높은 임계값
neutral,Servo tile,Neutral,输入PWM中位,중립
dead_band,Servo tile,Dead band,输入PWM死区,데드밴드
sinusoidal_startup,Sin tile,Sinusoidal startup,正弦启动,사인파 시작
sine_mode_range,Sin tile,Sine mode range,正弦模式范围,사인 모드 범위
sine_mode_power,Sin tile,Sine mode power,正弦模式功率,사인 모드 파워
bootloader,Firmware tile,Bootloader,Bootloader,부트로더
pin,Firmware tile,PIN:,PIN：,PIN:
pin_format,Firmware tile,PIN: P%c%c,PIN: P%c%c,PIN: P%c%c
version,Firmware tile,Version:,版本：,버전:
version_format,Firmware tile,Version: %d,版本：%d,버전: %d
flash_colon,Firmware tile,Flash:,Flash:,Flash:
flash_colon_format,Firmware tile,Flash: 0x%02X,Flash: 0x%02X,Flash: 0x%02X
mcu,Firmware tile,MCU,MCU,MCU
type,Firmware tile,Type:,类型：,타입:
type_format,Firmware tile,Type: %s,类型：%s,타입: %s
eeprom,Firmware tile,EEPROM:,EEPROM：,EEPROM:
eeprom_format,Firmware tile,EEPROM: v%d,EEPROM: v%d,EEPROM: v%d
firmware_info,Firmware tile,Firmware,固件,펌웨어
name,Firmware tile,Name:,名称：,이름:
name_format,Firmware tile,Name: %s,名称：%s,이름: %s
version_firmware,Firmware tile,Version:,版本：,버전:
version_firmware_format,Firmware tile,Version: %u.%02u,版本：%u.%02u,버전: %u.%02u
need_startup,Firmware tile,(Need startup),(需要启动),(시동 필요)
default_settings,Firmware tile,Default Settings,默认设置,기본 설정
default_settings_confirm,Firmware tile,Are you sure to overwrite the current config with default settings?,确定要用默认设置覆盖当前配置吗？,기본 설정으로 현재 구성을 덮어쓸까요?
version_default,Firmware tile,Version: default,版本：默认,버전: 기본
